hè,ㄏㄜˋ
tuí,ㄊㄨㄟˊ
sǒng,ㄙㄨㄥˇ
cú,ㄘㄨˊ
dōu,ㄉㄡ
jùn,ㄐㄩㄣˋ
qiàn,ㄑㄧㄢˋ
yuán,ㄩㄢˊ
niǎn,ㄋㄧㄢˇ
tìng,ㄊㄧㄥˋ
zán,ㄗㄢˊ
hán,ㄏㄢˊ
suān,ㄙㄨㄢ
yǎoniǎo,ㄧㄠˇㄋㄧㄠˇ
sè,ㄙㄜˋ
gāng,ㄍㄤ
lèi,ㄌㄟˋ
tuán,ㄊㄨㄢˊ
yuàn,ㄩㄢˋ
pán,ㄆㄢˊ
tāo,ㄊㄠ
qì,ㄑㄧˋ
zā,ㄗㄚ
zhí,ㄓˊ
xiū,ㄒㄧㄡ
què,ㄑㄩㄝˋ
zhēng,ㄓㄥ
ge,˙ㄍㄜ
gé,ㄍㄜˊ
tǎnxíluǒchéng,ㄊㄢˇㄒㄧˊㄌㄨㄛˇㄔㄥˊ
pén,ㄆㄣˊ
xiōng,ㄒㄩㄥ
xí,ㄒㄧˊ
dǐ,ㄉㄧˇ
zi,˙ㄗ
dī,ㄉㄧ
zhě,ㄓㄜˇ
hé,ㄏㄜˊ
chàn,ㄔㄢˋ
fú,ㄈㄨˊ
bǎn,ㄅㄢˇ
táijí,ㄊㄞˊㄐㄧˊ
guǎi,ㄍㄨㄞˇ
wēn,ㄨㄣ
fèn,ㄈㄣˋ
zhuì,ㄓㄨㄟˋ
āi,ㄞ
juǎn,ㄐㄩㄢˇ
lǐn,ㄌㄧㄣˇ
náo,ㄋㄠˊ
pǔ,ㄆㄨˇ
rào,ㄖㄠˋ
shà,ㄕㄚˋ
yòng,ㄩㄥˋ
zhuāng,ㄓㄨㄤ
shǎn,ㄕㄢˇ
zī,ㄗ
lóu,ㄌㄡˊ
háng,ㄏㄤˊ
zhuàng,ㄓㄨㄤˋ
guǎn,ㄍㄨㄢˇ
chòng,ㄔㄨㄥˋ
bīng,ㄅㄧㄥ
kùn,ㄎㄨㄣˋ
sāng,ㄙㄤ
hèng,ㄏㄥˋ
zōng,ㄗㄨㄥ
quán,ㄑㄩㄢˊ
jiǎo,ㄐㄧㄠˇ
ǎo,ㄠˇ
nièbòtūnzhēn,ㄋㄧㄝˋㄅㄛˋㄊㄨㄣㄓㄣ
lěi,ㄌㄟˇ
diān,ㄉㄧㄢ
zǎo,ㄗㄠˇ
yāoniǎo,ㄧㄠㄋㄧㄠˇ
kè,ㄎㄜˋ
guài,ㄍㄨㄞˋ
mòqí,ㄇㄛˋㄑㄧˊ
fá,ㄈㄚˊ
pàn,ㄆㄢˋ
yào,ㄧㄠˋ
chì,ㄔˋ
wéi,ㄨㄟˊ
jiǒng,ㄐㄩㄥˇ
jījǐnjiànzhēn,ㄐㄧㄐㄧㄣˇㄐㄧㄢˋㄓㄣ
xìpì,ㄒㄧˋㄆㄧˋ
léngleng,ㄌㄥˊ˙ㄌㄥ
huàng,ㄏㄨㄤˋ
hòngméng,ㄏㄨㄥˋㄇㄥˊ
jué,ㄐㄩㄝˊ
piē,ㄆㄧㄝ
bié,ㄅㄧㄝˊ
hù,ㄏㄨˋ
shù,ㄕㄨˋ
xūn,ㄒㄩㄣ
qīng,ㄑㄧㄥ
dǔn,ㄉㄨㄣˇ
tuō,ㄊㄨㄛ
shí,ㄕˊ
fǎ,ㄈㄚˇ
quān,ㄑㄩㄢ
nièjuédāndēng,ㄋㄧㄝˋㄐㄩㄝˊㄉㄢㄉㄥ
láng,ㄌㄤˊ
tóng,ㄊㄨㄥˊ
chǎng,ㄔㄤˇ
wěi,ㄨㄟˇ
rǎo,ㄖㄠˇ
wèng,ㄨㄥˋ
tiào,ㄊㄧㄠˋ
léng,ㄌㄥˊ
sù,ㄙㄨˋ
chà,ㄔㄚˋ
tú,ㄊㄨˊ
qǐn,ㄑㄧㄣˇ
jī,ㄐㄧ
yājì,ㄧㄚㄐㄧˋ
nè,ㄋㄜˋ
yǎo,ㄧㄠˇ
fū,ㄈㄨ
kàn,ㄎㄢˋ
hú,ㄏㄨˊ
huà,ㄏㄨㄚˋ
kē,ㄎㄜ
jiéjū,ㄐㄧㄝˊㄐㄩ
kǔn,ㄎㄨㄣˇ
yǐ,ㄧˇ
lùyǐ,ㄌㄨˋㄧˇ
diào,ㄉㄧㄠˋ
wèngtiānlíhǎi,ㄨㄥˋㄊㄧㄢㄌㄧˊㄏㄞˇ
cūlì,ㄘㄨㄌㄧˋ
yìn,ㄧㄣˋ
héhézhēzhē,ㄏㄜˊㄏㄜˊㄓㄜㄓㄜ
zhǔn,ㄓㄨㄣˇ
yú,ㄩˊ
ga,˙ㄍㄚ
xié,ㄒㄧㄝˊ
pín,ㄆㄧㄣˊ
róng,ㄖㄨㄥˊ
huàyán,ㄏㄨㄚˋㄧㄢˊ
pánjú,ㄆㄢˊㄐㄩˊ
tāi,ㄊㄞ
zhǐ,ㄓˇ
lüè,ㄌㄩㄝˋ
qǐ,ㄑㄧˇ
tái,ㄊㄞˊ
yé,ㄧㄝˊ
lí,ㄌㄧˊ
bǐ,ㄅㄧˇ
kòupánménzhú,ㄎㄡˋㄆㄢˊㄇㄣˊㄓㄨˊ
dié,ㄉㄧㄝˊ
bāo,ㄅㄠ
ànmù,ㄢˋㄇㄨˋ
zǐ,ㄗˇ
kēng,ㄎㄥ
xúwú,ㄒㄩˊㄨˊ
kuī,ㄎㄨㄟ
gòu,ㄍㄡˋ
zhà,ㄓㄚˋ
zhá,ㄓㄚˊ
èhángfǔbèi,ㄜˋㄏㄤˊㄈㄨˇㄅㄟˋ
rèn,ㄖㄣˋ
zhú,ㄓㄨˊ
yōng,ㄩㄥ
jiè,ㄐㄧㄝˋ
yín,ㄧㄣˊ
bīlè,ㄅㄧㄌㄜˋ
háo,ㄏㄠˊ
pí,ㄆㄧˊ
miǎn,ㄇㄧㄢˇ
xián,ㄒㄧㄢˊ
guī,ㄍㄨㄟ
là,ㄌㄚˋ
jiǎ,ㄐㄧㄚˇ
zāi,ㄗㄞ
duī,ㄉㄨㄟ
